Unnamed: 0,Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SimillarHTTP,Inbound,Label
0,45.8.160.174-192.168.50.7-62341-123-17,45.8.160.174,62341,192.168.50.7,123,17,2019-01-12 12:58:44.000,18741.3,38,13,962.6,733.5,34.7,12.5,25.33,2.33,60.8,11.8,56.42,19.34,90495.75,2721.11,367.48,134.57,771.19,232.91,11244.8,330.73,121.11,734.96,110.24,7496.5,404.23,148.03,808.46,73.5,1,0,0,0,760,260,2027.5,693.62,12.7,84.6,40.88,7.6,57.76,0,0,0,0,1,0,0,0,0.34,33.26,25.33,56.42,0,0,0,0,0,0,38,962.6,13,733.5,14856,59944,37,32,5622.4,937.07,7496.53,1874.13,3748.26,937.07,5622.4,937.07,0,1,DrDoS_NTP
1,222.55.89.42-192.168.50.4-37364-53-17,222.55.89.42,37364,192.168.50.4,53,17,2019-01-12 15:27:54.000,18268.8,19,6,2113.2,54.4,167.4,70.5,111.22,30.44,14.1,0.1,9.06,3.49,118644.14,1368.38,730.75,402.82,1939.21,327.93,10961.3,657.68,362.54,1461.5,219.22,7307.5,803.83,443.1,1607.65,146.15,1,0,0,0,380,120,1039.97,328.41,4.5,166.8,60.14,33.37,1113.3,1,1,1,0,1,0,0,0,0.32,86.7,111.22,9.06,0,0,0,0,0,0,19,2113.2,6,54.4,51214,9389,18,32,5480.63,913.44,7307.5,1826.88,3653.75,913.44,5480.63,913.44,0,1,DrDoS_DNS
2,74.3.206.130-192.168.50.3-33743-161-17,74.3.206.130,33743,192.168.50.3,161,17,2019-01-12 09:00:00.000,7506.2,20,5,899.7,158.3,56.5,18.3,44.98,10.8,44.3,18.3,31.65,12.11,140931.61,3330.14,300.25,175.64,827.17,124.61,4503.7,270.23,158.08,600.5,90.08,3002.5,330.28,193.2,660.55,60.05,0,0,0,0,400,100,2664.11,666.03,15.8,67.5,38.32,13.49,182.11,0,0,0,1,0,0,0,0,0.25,42.32,44.98,31.65,0,0,0,0,0,0,20,899.7,5,158.3,45401,65042,19,20,2251.86,375.31,3002.48,750.62,1501.24,375.31,2251.86,375.31,0,1,DrDoS_SNMP
3,54.67.65.118-192.168.50.8-3023-137-17,54.67.65.118,3023,192.168.50.8,137,17,2019-01-12 15:31:36.000,12079.3,28,8,2650.8,248.0,102.2,62.3,94.67,37.72,31.4,15.6,30.99,9.7,239961.14,2980.06,335.54,100.0,635.54,235.54,7247.6,301.99,90.0,671.08,100.66,4831.7,369.09,110.0,738.19,67.11,0,0,0,0,560,160,2317.83,662.24,15.5,142.0,62.83,28.4,806.67,0,1,1,0,0,0,0,0,0.29,80.52,94.67,30.99,0,0,0,0,0,0,28,2650.8,8,248.0,35730,10387,27,32,3623.79,603.96,4831.72,1207.93,2415.86,603.96,3623.79,603.96,0,1,DrDoS_NetBIOS
4,156.205.219.236-192.168.50.2-9925-53-6,156.205.219.236,9925,192.168.50.2,53,6,2019-01-12 12:02:47.000,20466.8,54,7,6798.7,1907.4,159.6,39.8,125.9,26.17,360.2,188.3,272.48,98.8,425355.14,2980.29,335.52,108.25,660.27,227.27,12280.1,301.97,97.42,671.04,100.66,8186.7,369.07,119.08,738.14,67.1,1,0,0,0,1080,140,2638.29,342.0,63.0,408.7,199.19,37.77,1426.61,1,1,1,0,1,0,0,0,0.13,142.72,125.9,272.48,0,0,0,0,0,0,54,6798.7,7,1907.4,53625,19358,53,40,6140.05,1023.34,8186.74,2046.68,4093.37,1023.34,6140.05,1023.34,0,1,BENIGN
5,111.22.94.104-192.168.50.9-61825-111-17,111.22.94.104,61825,192.168.50.9,111,17,2019-01-12 13:32:51.000,15069.5,39,8,3382.8,219.2,129.4,31.5,86.74,24.56,35.1,21.9,27.4,9.23,239010.66,3118.68,320.63,37.13,432.02,283.5,9041.7,288.57,33.42,641.26,96.19,6027.8,352.69,40.84,705.39,64.13,0,0,0,0,780,160,2587.84,530.84,13.7,130.1,57.07,26.02,677.14,1,0,0,0,0,0,0,0,0.21,76.64,86.74,27.4,0,0,0,0,0,0,39,3382.8,8,219.2,50652,5653,38,20,4520.84,753.47,6027.78,1506.95,3013.89,753.47,4520.84,753.47,0,1,Portmap
6,31.126.76.51-192.168.50.4-56560-123-17,31.126.76.51,56560,192.168.50.4,123,17,2019-01-12 13:27:50.000,4567.5,38,17,4094.4,978.8,144.2,63.8,107.75,18.31,70.9,12.5,57.58,4.54,1110474.8,12038.97,83.05,47.0,224.05,36.05,2740.5,74.75,42.3,166.1,24.91,1827.0,91.36,51.7,182.71,16.61,1,0,0,0,760,340,8317.84,3721.14,28.8,161.6,82.66,32.32,1044.86,1,1,0,1,1,0,0,0,0.45,92.24,107.75,57.58,0,0,0,0,0,0,38,4094.4,17,978.8,58180,35617,37,32,1370.25,228.37,1827.0,456.75,913.5,228.37,1370.25,228.37,0,1,DrDoS_NTP
7,156.133.47.109-192.168.50.3-30983-123-17,156.133.47.109,30983,192.168.50.3,123,17,2019-01-12 13:55:16.000,15199.9,10,1,398.4,43.0,49.1,32.6,39.84,12.16,70.5,25.7,43.0,14.89,29037.68,723.64,1381.81,535.36,2987.89,846.45,9120.0,1243.63,481.82,2763.62,414.54,6080.0,1519.99,588.9,3039.98,276.36,1,0,0,0,200,20,657.85,65.79,19.9,64.5,41.42,11.95,142.84,0,1,1,0,0,0,0,0,0.1,40.13,39.84,43.0,0,0,0,0,0,0,10,398.4,1,43.0,27535,15340,9,40,4559.98,760.0,6079.98,1519.99,3039.99,760.0,4559.98,760.0,0,1,DrDoS_NTP
8,167.17.115.232-192.168.50.9-14487-443-6,167.17.115.232,14487,192.168.50.9,443,6,2019-01-12 12:16:22.000,1983367.1,357,95,118370.4,111812.6,396.8,180.4,331.57,110.09,2019.8,74.3,1176.97,295.64,116056.62,227.9,4387.98,1303.41,8298.21,3084.57,1190020.2,3949.18,1173.07,8775.96,1316.39,793346.8,4826.78,1433.75,9653.56,877.6,0,0,0,0,7140,1900,180.0,47.9,165.8,1765.5,754.27,99.47,9894.47,0,0,0,1,1,0,0,0,0.27,509.25,331.57,1176.97,0,0,0,0,0,0,357,118370.4,95,111812.6,37155,29312,356,20,595010.12,99168.35,793346.82,198336.71,396673.41,99168.35,595010.12,99168.35,0,1,BENIGN
9,89.127.120.79-192.168.50.6-15638-53-17,89.127.120.79,15638,192.168.50.6,53,17,2019-01-12 13:00:28.000,6828.2,7,1,712.5,44.7,114.3,61.9,101.78,15.25,71.2,9.6,44.74,12.75,110876.36,1171.44,853.53,427.01,2134.56,426.52,4096.9,768.18,384.31,1707.06,256.06,2731.3,938.88,469.71,1877.77,170.71,0,0,0,0,140,20,1025.01,146.43,22.4,152.7,73.26,30.54,932.39,0,1,0,1,1,0,0,0,0.14,94.65,101.78,44.74,0,0,0,0,0,0,7,712.5,1,44.7,10876,62170,6,32,2048.47,341.41,2731.29,682.82,1365.65,341.41,2048.47,341.41,0,1,DrDoS_DNS
